================= Perf Change Summary =================

----------------- Regressions -----------------

----------------- >= 2x slower -----------------
+------------+-----------+------------------+---------------------------------+---------+---------------------+--------------------+--------------------+-----------+-----------------+----------------+-------------------------+
|  Model ID  | Precision |    Component     |              Device             | Runtime | Prev Inference time | New Inference time |     Kx slower      |   Job ID  | Previous Job ID | Compile Job ID | Previous Compile Job ID |
|   whisper_large_v3_turbo  |       float       |          decoder          |      Samsung Galaxy S22 5G      |      voice_ai      |         -inf        |       16.325       |    inf    | j577l2vr5 |       null      |   jgjwz3375    |           null          |
|   whisper_large_v3_turbo  |       float       |          decoder          |        Samsung Galaxy S24       |      voice_ai      |         -inf        |       7.999        |    inf    | jgn7m0rmp |       null      |   j5mdq99y5    |           null          |
|   whisper_large_v3_turbo  |       float       |          decoder          |        Samsung Galaxy S25       |      voice_ai      |         -inf        |       6.713        |    inf    | jp0v24eeg |       null      |   jgl16w8e5    |           null          |
|   whisper_large_v3_turbo  |       float       |          decoder          |      Dragonwing IQ-9075 EVK     |      voice_ai      |         -inf        |       10.917       |    inf    | jp0v24k6g |       null      |   j5770omr5    |           null          |
|   whisper_large_v3_turbo  |       float       |          decoder          |        Samsung Galaxy S26       |      voice_ai      |         -inf        |       6.271        |    inf    | j5qmr09mg |       null      |   jg9xjo2qg    |           null          |
|       whisper_medium      |       float       |          decoder          |      Snapdragon X Elite CRD     |      voice_ai      |         -inf        |       27.685       |    inf    | jpxd6o8lg |       null      |   jg9xjz98g    |           null          |
|       whisper_medium      |       float       |          decoder          |     Snapdragon X2 Elite CRD     |      voice_ai      |         -inf        |       18.931       |    inf    | jp2v9yqq5 |       null      |   jpxdnlelg    |           null          |
|       whisper_medium      |       float       |          decoder          |         QCS8550 (Proxy)         |      voice_ai      |         -inf        |       34.626       |    inf    | jp1vwz9np |       null      |   j5w12lx4g    |           null          |
|       whisper_medium      |       float       |          decoder          |      Samsung Galaxy S22 5G      |      voice_ai      |         -inf        |       58.754       |    inf    | jp2v9yzq5 |       null      |   jprn8l475    |           null          |
|       whisper_medium      |       float       |          decoder          |      Samsung Galaxy S22 5G      | qnn_context_binary |         -inf        |       58.098       |    inf    | jgk97nzv5 |       null      |   jp840e2k5    |           null          |
|       whisper_medium      |       float       |          decoder          |        Samsung Galaxy S24       |      voice_ai      |         -inf        |       28.465       |    inf    | jgk9qxkn5 |       null      |   jp840e3o5    |           null          |
|       whisper_medium      |       float       |          decoder          |        Samsung Galaxy S25       |      voice_ai      |         -inf        |       23.443       |    inf    | jp3w10ln5 |       null      |   j56de8qyp    |           null          |
|       whisper_medium      |       float       |          decoder          |      Dragonwing IQ-9075 EVK     |      voice_ai      |         -inf        |       37.281       |    inf    | jp2v9y165 |       null      |   jgn7lzxjp    |           null          |
|       whisper_medium      |       float       |          decoder          |        Samsung Galaxy S26       |      voice_ai      |         -inf        |       22.24        |    inf    | jpelwm0vg |       null      |   jgjwzrke5    |           null          |
|       whisper_small       |       float       |          decoder          |      Snapdragon X Elite CRD     |      voice_ai      |         -inf        |       10.671       |    inf    | jgo4n2ox5 |       null      |   jp3wvzox5    |           null          |
|       whisper_small       |       float       |          decoder          |     Snapdragon X2 Elite CRD     |      voice_ai      |         -inf        |       6.992        |    inf    | jp0v2zv6g |       null      |   jp1vynokp    |           null          |
|       whisper_small       |       float       |          decoder          |         QCS8550 (Proxy)         |      voice_ai      |         -inf        |       12.259       |    inf    | j5w13el3g |       null      |   jpxdnlrjg    |           null          |
|       whisper_small       |       float       |          decoder          |      Samsung Galaxy S22 5G      |      voice_ai      |         -inf        |       17.681       |    inf    | jgdzqxrl5 |       null      |   j5w12llzg    |           null          |
|       whisper_small       |       float       |          decoder          |        Samsung Galaxy S24       |      voice_ai      |         -inf        |        9.95        |    inf    | j5qmr694g |       null      |   j5770eeq5    |           null          |
|       whisper_small       |       float       |          decoder          |        Samsung Galaxy S25       |      voice_ai      |         -inf        |        8.38        |    inf    | jgn7m6xrp |       null      |   jgn7lz1vp    |           null          |
|       whisper_small       |       float       |          decoder          |      Dragonwing IQ-9075 EVK     |      voice_ai      |         -inf        |       13.417       |    inf    | jgo4n2lq5 |       null      |   jp0v3mx2g    |           null          |
|       whisper_small       |       float       |          decoder          |        Samsung Galaxy S26       |      voice_ai      |         -inf        |       7.363        |    inf    | jp1vw472p |       null      |   jp840ejz5    |           null          |
|        whisper_tiny       |       float       |          decoder          |      Snapdragon X Elite CRD     |      voice_ai      |         -inf        |       2.426        |    inf    | j5w136n4g |       null      |   jgdze6nr5    |           null          |
|        whisper_tiny       |       float       |          decoder          |     Snapdragon X2 Elite CRD     |      voice_ai      |         -inf        |       1.771        |    inf    | jg9xyneqg |       null      |   jp2v0oxr5    |           null          |
|        whisper_tiny       |       float       |          decoder          |         QCS8550 (Proxy)         |      voice_ai      |         -inf        |       2.449        |    inf    | jpv9r6k75 |       null      |   jp0v3o39g    |           null          |
|        whisper_tiny       |       float       |          decoder          |      Samsung Galaxy S22 5G      |      voice_ai      |         -inf        |       2.656        |    inf    | jgn7mvyjp |       null      |   j5770oyl5    |           null          |
|        whisper_tiny       |       float       |          decoder          |        Samsung Galaxy S24       |      voice_ai      |         -inf        |       1.896        |    inf    | jp0v2070g |       null      |   jprn8xv95    |           null          |
|        whisper_tiny       |       float       |          decoder          |        Samsung Galaxy S25       |      voice_ai      |         -inf        |       1.563        |    inf    | jgl12mr25 |       null      |   j5qme464g    |           null          |
